codice,anno,lunghezza,duso,dtipologia2,nomequart,geo_point_2d,zona_fiu,length,tipologia2,geometry
2088,Precedente 31/12/2021,517.0,Itinerario ciclabile,corsia ciclabile su strada,San Donato - San Vitale,"{ ""lon"": 11.394242003229941, ""lat"": 44.509118891536566 }",SAN DONATO NUOVO,516.978703510375,Itinerario ciclabile,"LINESTRING (11.3924584255275 44.5109899316722, 11.3924929084497 44.5108347496803, 11.3925431318301 44.5106452996633, 11.392661416314 44.5102932398414, 11.3927980548696 44.5100865717284, 11.3930156920113 44.509797346038, 11.3937223764581 44.5089606087571, 11.3938468747764 44.5088342413465, 11.3939773544936 44.5087033095715, 11.3941094715387 44.508612121431, 11.3942206939091 44.508551298573, 11.3944652187639 44.50849111687, 11.3947965515994 44.5084344230784, 11.3950403774748 44.5084133788663, 11.3952622119538 44.5083987734748, 11.3954705651728 44.5083943982688, 11.3956430723342 44.508404044795, 11.3967731704283 44.5085490587999)"
1164,Precedente 31/12/2021,66.0,Pedonale-Ciclabile,ciclabile contigua al pedonale,Borgo Panigale - Reno,"{ ""lon"": 11.26669346932505, ""lat"": 44.524624193131402 }",BORGO PANIGALE,65.9214584084633,Pedonale-Ciclabile,"LINESTRING (11.2670665425632 44.5244947749339, 11.2663203960869 44.5247536113289)"
1755,Precedente 31/12/2021,41.0,Pedonale-Ciclabile,area pedonale,Porto - Saragozza,"{ ""lon"": 11.335552610707499, ""lat"": 44.495373099376749 }",MALPIGHI,40.90572405790173,Pedonale-Ciclabile,"LINESTRING (11.3355728707327 44.4955565851009, 11.3355323506823 44.4951896136526)"
2102,Precedente 31/12/2021,116.0,Itinerario ciclabile,promiscuo veicolare,Porto - Saragozza,"{ ""lon"": 11.317454066768855, ""lat"": 44.488815218701632 }",SARAGOZZA - SAN LUCA,59.09283092048034,Itinerario ciclabile,"LINESTRING (11.3178247256428 44.4888326469501, 11.3177378502885 44.4888276234566, 11.3170833539114 44.48879885124)"
397,2022,58.0,Itinerario ciclabile,corsia ciclabile su strada,Navile,"{ ""lon"": 11.323464121425902, ""lat"": 44.518568842515194 }",BERTALIA - NOCE,53.98737197079615,Itinerario ciclabile,"LINESTRING (11.3231991705626 44.5187182477189, 11.3234656993849 44.5185719102549, 11.3236246368153 44.5184769131849, 11.3237031039993 44.5184237611454, 11.323723385001747 44.518410023199216)"
1662,Precedente 31/12/2021,147.0,Ciclabile,sede propria,Savena,"{ ""lon"": 11.379786550424846, ""lat"": 44.462231746916288 }",LUNGO SAVENA,146.8468156952533,Ciclabile,"LINESTRING (11.3802343478435 44.4617319262002, 11.3800026652377 44.4618257578705, 11.3798899273582 44.4619397509823, 11.3796235685744 44.4623005622811, 11.3795980886506 44.4626387392202, 11.3796071389421 44.4626867960104, 11.3796421883372 44.4627622608134, 11.3797314614237 44.462859494107)"
1073,Precedente 31/12/2021,411.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.357473757138525, ""lat"": 44.490598785062382 }",CIRENAICA - MASSARENTI - SCANDELLARA,0.317330504073083,Ciclabile,"LINESTRING (11.357473594567452 44.490600208161965, 11.3574739197096 44.4905973619628)"
2015,Precedente 31/12/2021,104.0,Ciclabile,sede propria,Porto - Saragozza,"{ ""lon"": 11.312925327157199, ""lat"": 44.502323906631048 }",SAFFI,104.12487860641758,Ciclabile,"LINESTRING (11.3135121019878 44.5021161537223, 11.3123385523266 44.5025316595398)"
1241,Precedente 31/12/2021,145.0,Percorso naturalistico,pavimentato,Santo Stefano,"{ ""lon"": 11.37260371405055, ""lat"": 44.479881238411053 }",MURRI,144.8040042595665,Percorso naturalistico,"LINESTRING (11.3720907309743 44.4793939932098, 11.3722069178305 44.4795406578778, 11.3722541872968 44.4795484443732, 11.3724038733054 44.479766029359, 11.3724351211165 44.4797814567659, 11.3724961953897 44.4797772634774, 11.3728280893131 44.4802088329422, 11.3731942912604 44.4800769810013)"
1809,Precedente 31/12/2021,71.0,Ciclabile,sede propria,San Donato - San Vitale,"{ ""lon"": 11.357050227192994, ""lat"": 44.498044847331748 }",CIRENAICA - MASSARENTI - SCANDELLARA,70.93782871074835,Ciclabile,"LINESTRING (11.35661216809 44.498103999856, 11.3567399434905 44.4980887901643, 11.3574879806816 44.4979833436394)"
